episode,turns,won,opponent_type,rl_total,rl_action_head,rl_target_head,rl_card_select_head,opp_total,opp_action_head,opp_target_head,opp_card_select_head
92658,15,1,ComputerPlayer7,44,42,2,0,0,0,0,0
92674,12,0,ComputerPlayer7,30,26,4,0,0,0,0,0
92659,32,0,ComputerPlayer7,72,64,6,2,0,0,0,0
92653,21,1,ComputerPlayer7,52,44,8,0,0,0,0,0
92598,48,0,ComputerPlayer7,123,109,10,4,0,0,0,0
92651,20,0,ComputerPlayer7,68,60,7,1,0,0,0,0
92662,23,1,ComputerPlayer7,58,47,10,1,0,0,0,0
92657,20,0,ComputerPlayer7,55,49,6,0,0,0,0,0
92675,14,0,ComputerPlayer7,43,34,6,3,0,0,0,0
92655,19,1,ComputerPlayer7,69,66,3,0,0,0,0,0
92672,14,0,ComputerPlayer7,29,26,3,0,0,0,0,0
92711,10,0,ComputerPlayer7,5,5,0,0,0,0,0,0
92701,10,0,ComputerPlayer7,13,11,2,0,0,0,0,0
92708,10,0,ComputerPlayer7,9,9,0,0,0,0,0,0
92666,14,0,ComputerPlayer7,42,37,4,1,0,0,0,0
92696,12,0,ComputerPlayer7,28,28,0,0,0,0,0,0
92692,14,0,ComputerPlayer7,23,21,2,0,0,0,0,0
92687,18,0,ComputerPlayer7,35,32,3,0,0,0,0,0
92626,23,1,ComputerPlayer7,101,87,10,4,0,0,0,0
92691,13,1,ComputerPlayer7,32,27,0,5,0,0,0,0
92695,13,1,ComputerPlayer7,33,23,5,5,0,0,0,0
92699,14,0,ComputerPlayer7,31,26,2,3,0,0,0,0
92697,14,0,ComputerPlayer7,28,22,2,4,0,0,0,0
92719,8,0,ComputerPlayer7,31,31,0,0,0,0,0,0
92693,16,0,ComputerPlayer7,26,22,4,0,0,0,0,0
92686,20,0,ComputerPlayer7,30,24,6,0,0,0,0,0
92704,14,0,ComputerPlayer7,31,24,6,1,0,0,0,0
92664,10,0,ComputerPlayer7,49,46,3,0,0,0,0,0
92632,22,0,ComputerPlayer7,101,88,9,4,0,0,0,0
92715,12,0,ComputerPlayer7,27,25,1,1,0,0,0,0
92706,16,0,ComputerPlayer7,35,34,1,0,0,0,0,0
92683,18,0,ComputerPlayer7,58,49,9,0,0,0,0,0
92707,12,0,ComputerPlayer7,34,31,3,0,0,0,0,0
92727,12,0,ComputerPlayer7,32,29,2,1,0,0,0,0
92710,16,0,ComputerPlayer7,25,22,3,0,0,0,0,0
92671,30,0,ComputerPlayer7,67,59,8,0,0,0,0,0
92721,16,0,ComputerPlayer7,38,35,0,3,0,0,0,0
92705,16,0,ComputerPlayer7,21,20,1,0,0,0,0,0
92713,18,0,ComputerPlayer7,34,32,1,1,0,0,0,0
92702,19,1,ComputerPlayer7,46,39,2,5,0,0,0,0
92723,17,1,ComputerPlayer7,26,23,3,0,0,0,0,0
92669,21,1,ComputerPlayer7,73,59,8,6,0,0,0,0
92668,40,0,ComputerPlayer7,60,54,0,6,0,0,0,0
92720,14,0,ComputerPlayer7,26,22,3,1,0,0,0,0
92614,23,1,ComputerPlayer7,121,99,16,6,0,0,0,0
92700,16,0,ComputerPlayer7,36,31,5,0,0,0,0,0
92722,21,1,ComputerPlayer7,32,24,8,0,0,0,0,0
92716,21,0,ComputerPlayer7,25,24,1,0,0,0,0,0
92726,12,0,ComputerPlayer7,31,28,3,0,0,0,0,0
92733,10,0,ComputerPlayer7,20,15,2,3,0,0,0,0
92728,16,0,ComputerPlayer7,26,21,3,2,0,0,0,0
92724,16,0,ComputerPlayer7,40,33,7,0,0,0,0,0
92714,21,1,ComputerPlayer7,46,38,5,3,0,0,0,0
92744,10,0,ComputerPlayer7,14,14,0,0,0,0,0,0
92739,13,1,ComputerPlayer7,23,21,2,0,0,0,0,0
92743,11,1,ComputerPlayer7,14,13,1,0,0,0,0,0
92735,10,0,ComputerPlayer7,26,22,1,3,0,0,0,0
92732,14,0,ComputerPlayer7,23,21,2,0,0,0,0,0
92746,12,0,ComputerPlayer7,33,32,0,1,0,0,0,0
92709,19,1,ComputerPlayer7,66,62,4,0,0,0,0,0
92751,11,1,ComputerPlayer7,19,17,2,0,0,0,0,0
92742,14,0,ComputerPlayer7,32,32,0,0,0,0,0,0
92736,10,0,ComputerPlayer7,41,39,1,1,0,0,0,0
92748,18,0,ComputerPlayer7,15,14,1,0,0,0,0,0
92618,22,0,ComputerPlayer7,147,131,8,8,0,0,0,0
92685,34,0,ComputerPlayer7,78,63,14,1,0,0,0,0
92738,17,1,ComputerPlayer7,30,23,5,2,0,0,0,0
92741,18,0,ComputerPlayer7,34,34,0,0,0,0,0,0
92754,16,0,ComputerPlayer7,29,29,0,0,0,0,0,0
92619,40,0,ComputerPlayer7,106,96,10,0,0,0,0,0
92694,27,1,ComputerPlayer7,64,49,13,2,0,0,0,0
92749,10,0,ComputerPlayer7,26,25,1,0,0,0,0,0
92731,15,1,ComputerPlayer7,33,31,2,0,0,0,0,0
92677,40,0,ComputerPlayer7,85,78,7,0,0,0,0,0
92745,14,0,ComputerPlayer7,40,39,1,0,0,0,0,0
92747,12,0,ComputerPlayer7,35,35,0,0,0,0,0,0
92717,14,0,ComputerPlayer7,69,65,2,2,0,0,0,0
92688,23,1,ComputerPlayer7,70,56,13,1,0,0,0,0
92753,12,0,ComputerPlayer7,35,33,2,0,0,0,0,0
92712,32,0,ComputerPlayer7,68,59,3,6,0,0,0,0
92768,12,0,ComputerPlayer7,11,11,0,0,0,0,0,0
92690,32,0,ComputerPlayer7,93,76,9,8,0,0,0,0
92648,82,0,ComputerPlayer7,131,126,5,0,0,0,0,0
92718,30,0,ComputerPlayer7,49,43,4,2,0,0,0,0
92644,21,0,ComputerPlayer7,142,118,15,9,0,0,0,0
92740,27,1,ComputerPlayer7,52,47,3,2,0,0,0,0
92767,10,0,ComputerPlayer7,34,33,1,0,0,0,0,0
92755,20,0,ComputerPlayer7,47,45,2,0,0,0,0,0
92757,13,1,ComputerPlayer7,43,33,8,2,0,0,0,0
92758,14,0,ComputerPlayer7,21,19,2,0,0,0,0,0
92776,16,0,ComputerPlayer7,18,16,1,1,0,0,0,0
92761,19,1,ComputerPlayer7,28,27,0,1,0,0,0,0
92777,16,0,ComputerPlayer7,31,31,0,0,0,0,0,0
92650,33,0,ComputerPlayer7,133,118,11,4,0,0,0,0
92750,24,0,ComputerPlayer7,39,37,2,0,0,0,0,0
92781,12,0,ComputerPlayer7,35,35,0,0,0,0,0,0
92689,23,1,ComputerPlayer7,95,91,4,0,0,0,0,0
92725,26,0,ComputerPlayer7,59,50,5,4,0,0,0,0
92764,16,0,ComputerPlayer7,26,26,0,0,0,0,0,0
92752,22,0,ComputerPlayer7,55,54,1,0,0,0,0,0
92770,20,0,ComputerPlayer7,33,30,3,0,0,0,0,0
92759,18,0,ComputerPlayer7,36,34,2,0,0,0,0,0
92756,18,0,ComputerPlayer7,38,36,2,0,0,0,0,0
92703,30,0,ComputerPlayer7,93,88,5,0,0,0,0,0
92737,19,1,ComputerPlayer7,70,63,3,4,0,0,0,0
92766,16,0,ComputerPlayer7,39,35,2,2,0,0,0,0
92763,22,0,ComputerPlayer7,45,39,4,2,0,0,0,0
92698,32,0,ComputerPlayer7,116,100,6,10,0,0,0,0
92780,18,0,ComputerPlayer7,48,48,0,0,0,0,0,0
92787,14,0,ComputerPlayer7,34,32,2,0,0,0,0,0
92795,10,0,ComputerPlayer7,27,27,0,0,0,0,0,0
92783,18,0,ComputerPlayer7,18,17,1,0,0,0,0,0
92729,18,0,ComputerPlayer7,66,60,6,0,0,0,0,0
92760,17,1,ComputerPlayer7,42,37,2,3,0,0,0,0
92800,30,0,ComputerPlayer7,25,17,2,6,0,0,0,0
92785,17,1,ComputerPlayer7,28,26,2,0,0,0,0,0
92793,12,0,ComputerPlayer7,31,29,2,0,0,0,0,0
92774,16,0,ComputerPlayer7,50,44,2,4,0,0,0,0
92807,10,0,ComputerPlayer7,28,28,0,0,0,0,0,0
92798,14,0,ComputerPlayer7,27,26,1,0,0,0,0,0
92788,28,0,ComputerPlayer7,38,33,3,2,0,0,0,0
92804,10,0,ComputerPlayer7,32,31,0,1,0,0,0,0
92809,14,0,ComputerPlayer7,32,32,0,0,0,0,0,0
92796,16,0,ComputerPlayer7,31,28,3,0,0,0,0,0
92799,16,0,ComputerPlayer7,23,22,1,0,0,0,0,0
92784,17,1,ComputerPlayer7,53,42,3,8,0,0,0,0
92771,19,1,ComputerPlayer7,45,41,4,0,0,0,0,0
92790,14,0,ComputerPlayer7,37,32,2,3,0,0,0,0
92762,30,0,ComputerPlayer7,63,48,12,3,0,0,0,0
92797,15,1,ComputerPlayer7,35,29,5,1,0,0,0,0
92821,15,1,ComputerPlayer7,28,25,3,0,0,0,0,0
92730,19,1,ComputerPlayer7,94,87,5,2,0,0,0,0
